order_id,success,sku,quantity,total_cost
O000000,True,AK0002,3,290.07
O000001,True,WG0004,2,36.38
O000002,True,AK0002,9,870.21
O000003,True,AK0002,2,193.38
O000004,True,WG0002,4,89.56
O000005,True,AK0000,4,181.16
O000006,True,AK0001,9,593.91
O000007,True,WG0002,6,134.34
O000008,True,AK0000,4,181.16
O000009,True,AK0003,10,181.90
O00000A,True,WG0001,1,83.89
O00000B,True,WG0001,5,419.45
O00000C,True,WG0002,2,44.78
O00000D,True,WG0004,2,36.38
O00000E,False,AK0001,5,0.00
O00000F,True,AK0004,5,32.95
O000010,True,AK0003,6,109.14
O000011,False,AK0002,3,0.00
O000012,False,AK0000,8,0.00
O000013,True,WG0002,3,67.17
